Начало игровой сессии
02:28:47 - SpeedU:0, ArmorU:0, DamageU:0, ArmorP:3, Draft:0, Growth:0
02:30:20 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:30:20 - Список очищен, tag: Enemy3, Точек в списке: 0
02:30:20 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:30:20 - Список очищен, tag: Enemy1, Точек в списке: 0
02:30:20 - Список очищен, tag: Enemy2, Точек в списке: 0
02:30:20 - Список очищен, tag: Enemy3, Точек в списке: 0
02:30:20 - Список очищен, tag: Enemy3, Точек в списке: 0
02:30:20 - Список очищен, tag: Enemy3, Точек в списке: 0
02:30:20 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:30:21 - Список очищен, tag: Enemy2, Точек в списке: 0
02:30:21 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:30:21 - Список очищен, tag: Enemy3, Точек в списке: 0
02:30:21 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:30:21 - Список очищен, tag: Enemy1, Точек в списке: 0
02:30:21 - Список очищен, tag: Enemy2, Точек в списке: 0
02:30:21 - Список очищен, tag: Enemy3, Точек в списке: 0
02:30:21 - Список очищен, tag: Enemy3, Точек в списке: 0
02:30:21 - Список очищен, tag: Enemy3, Точек в списке: 0
02:30:22 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:30:22 - Список очищен, tag: Enemy2, Точек в списке: 0
02:30:22 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:30:22 - Список очищен, tag: Enemy3, Точек в списке: 0
02:30:22 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:30:22 - Список очищен, tag: Enemy1, Точек в списке: 0
02:30:22 - Список очищен, tag: Enemy2, Точек в списке: 0
02:30:22 - Список очищен, tag: Enemy3, Точек в списке: 0
02:30:22 - Список очищен, tag: Enemy3, Точек в списке: 0
02:30:22 - Список очищен, tag: Enemy3, Точек в списке: 0
02:30:23 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:30:23 - Список очищен, tag: Enemy2, Точек в списке: 0
02:30:23 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:30:23 - Список очищен, tag: Enemy3, Точек в списке: 0
02:30:23 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:30:23 - Список очищен, tag: Enemy1, Точек в списке: 0
02:30:23 - Список очищен, tag: Enemy2, Точек в списке: 0
02:30:23 - Список очищен, tag: Enemy3, Точек в списке: 0
02:30:23 - Список очищен, tag: Enemy3, Точек в списке: 0
02:30:23 - Список очищен, tag: Enemy3, Точек в списке: 0
02:30:24 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:30:24 - Список очищен, tag: Enemy2, Точек в списке: 0
02:30:24 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:30:24 - Список очищен, tag: Enemy3, Точек в списке: 0
02:30:24 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:30:24 - Список очищен, tag: Enemy1, Точек в списке: 0
02:30:24 - Список очищен, tag: Enemy2, Точек в списке: 0
02:30:24 - Список очищен, tag: Enemy3, Точек в списке: 0
